win_id,t_rel_start,mbps_Uplink,mbps_Downlink,pps_Uplink,pps_Downlink,len_mean_Uplink,len_mean_Downlink,iat_mean_Uplink,iat_mean_Downlink,iat_var_Uplink,iat_var_Downlink,rssi_mean_Uplink,rssi_mean_Downlink,snr_mean_Uplink,snr_mean_Downlink,sleep_fraction,qos_frac_BE,qos_frac_BK,qos_frac_VI,qos_frac_VO,label
0,0.0,0.0287386666666666,0.2318869333333333,33.0,23.666666666666668,108.85858585858584,1224.7549295774647,0.0196184841727438,0.0266813107129544,0.0065421250499308,0.0323561858281196,-29.636363636363637,-48.53802816901408,66.36363636363636,47.46197183098592,0.3329068819681803,0.9649122807017544,0.0,0.0,0.0350877192982456,streaming
1,15.0,0.0743557333333333,0.4257274666666666,77.26666666666667,50.666666666666664,120.29076790336497,1050.3144736842105,0.0126376147920809,0.0189942807862252,0.002052825234853,0.0081986445455192,-28.226919758412425,-50.33552631578947,67.77308024158758,45.66447368421053,0.3050159931182861,0.9844748858447488,0.0136986301369863,0.0,0.0018264840182648,streaming
2,30.0,0.0229434666666666,0.5898368,30.0,55.0,95.59777777777778,1340.5381818181818,0.0322807456443463,0.0155143167787385,0.0151163440925305,0.0165059525541316,-27.935555555555556,-45.52969696969697,68.06444444444445,50.47030303030303,0.6146632671356201,0.9901315789473684,0.0,0.0010964912280701,0.0087719298245614,streaming
3,45.0,0.0275253333333333,0.3764202666666666,28.4,37.666666666666664,121.15023474178405,1249.1823008849558,0.0326233976027544,0.0233109060754167,0.0314558380633697,0.0519152399055313,-27.171361502347416,-47.5858407079646,68.82863849765258,48.4141592920354,0.6734664440155029,0.9927745664739884,0.0,0.0,0.0072254335260115,streaming
4,60.0,0.0752474666666666,5.137378666666667,74.6,464.8666666666667,126.08489722966937,1381.41187437258,0.0126847414723022,0.0019862115622524,0.0021442161023507,0.0016476340498846,-30.20732797140304,-44.881399684497346,65.79267202859697,51.118600315502654,0.4349620501200358,0.9953835709436524,0.0001357773251866,0.00040733197556,0.0040733197556008,streaming
5,75.0,0.044912,1.1172357333333334,55.93333333333333,103.86666666666666,100.36948748510132,1344.5551989730425,0.0178973151277528,0.0092171785076535,0.0075202198415486,0.011892068880774,-24.189511323003575,-44.49935815147625,71.81048867699643,51.50064184852375,0.42551957766215,0.9819136522753792,0.0,0.0035005834305717,0.014585764294049,streaming
6,90.0,0.0268426666666666,0.2769690666666666,32.0,26.8,104.85416666666669,1291.8333333333333,0.0300205221753528,0.0097833417002994,0.0460379487573267,0.0076691991174245,-21.595833333333335,-50.75373134328358,74.40416666666667,45.24626865671642,0.0637606620788574,0.9345794392523364,0.0,0.0074766355140186,0.0579439252336448,streaming
7,105.0,0.0330586666666666,2.608765866666667,44.6,236.06666666666663,92.65321375186846,1381.3713640214628,0.0223695928465106,0.003878466086199,0.0101324016319418,0.0059235506324452,-19.581464872944693,-46.1959898333804,76.4185351270553,49.8040101666196,0.5758260409037272,0.9986435160065112,0.0002712967986977,0.0,0.0010851871947911,streaming
8,120.0,0.0187696,1.5131392,21.133333333333333,137.26666666666668,111.01892744479495,1377.9193783389994,0.0453788260870342,0.0045419038210943,0.0386203890297129,0.0065988706020757,-23.457413249211356,-44.69791160757649,72.54258675078864,51.30208839242351,0.8167945543924967,0.997223507635354,0.0,0.0004627487274409,0.0023137436372049,streaming
9,135.0,0.0439589333333333,1.8022421333333336,50.0,164.93333333333334,109.89733333333334,1365.8868229587713,0.0188903082833589,0.0054089462906543,0.007557944304687,0.0054198211571102,-21.776,-45.03678253839935,74.224,50.96321746160065,0.6370442549387614,1.0,0.0,0.0,0.0,streaming
10,150.0,0.1092682666666666,4.316365333333334,83.4,397.53333333333336,163.77138289368506,1357.233774945497,0.0112041519165039,0.0022838361228884,0.0039506632340147,0.0028640473123272,-20.13269384492406,-45.68958577897032,75.86730615507594,50.31041422102968,0.587372366587321,0.9981429897864438,0.0013927576601671,0.0,0.000464252553389,streaming
11,165.0,0.0253370666666666,1.6720213333333334,29.0,152.26666666666668,109.21149425287356,1372.6094570928196,0.0341296360789356,0.0064606057725556,0.0293887022689774,0.0096759957943585,-16.47816091954023,-47.27101576182137,79.52183908045977,48.72898423817863,0.7426434516906738,0.9987598181066556,0.0,0.0004133939644481,0.0008267879288962,streaming
12,180.0,0.0308048,0.3953386666666666,49.53333333333333,36.733333333333334,77.73755047106326,1345.2994555353905,0.018634744088926,0.0220422471653331,0.007958724302083,0.037480500260717,-19.142664872139974,-45.330308529945555,76.85733512786003,50.669691470054445,0.3910576820373535,0.977124183006536,0.0016339869281045,0.0049019607843137,0.0163398692810457,streaming
13,195.0,0.0333413333333333,2.5730618666666665,33.4,234.33333333333337,124.78043912175649,1372.5436699857753,0.0299902777671813,0.0042587859968468,0.015607120056772,0.0045940262424167,-19.872255489021956,-45.74765291607397,76.12774451097805,50.25234708392603,0.6659267743428549,0.9997284822155852,0.0,0.0,0.0002715177844148,streaming
14,210.0,0.4361088,6.5641978666666665,193.6,576.5333333333333,281.57851239669424,1423.2043246993524,0.0051563365928394,0.0009868713807712,0.0138027791063089,0.0004908301972229,-33.32231404958678,-45.7627197039778,62.67768595041322,50.2372802960222,0.661745548248291,0.9907281156258522,0.0030906281247159,0.0042723388782837,0.001908917371148,speedtest
15,225.0,1.2805808,32.84300426666667,569.7333333333333,2795.0666666666666,280.9605663468289,1468.7934217430711,0.0017539956543165,0.0003575765055848,3.870817971639737e-05,6.5701288631652114e-06,-35.2312192838755,-44.03551495492057,60.7687807161245,51.96448504507943,0.054524294535319,0.9954684307418422,0.0042888066193279,0.0001820719791224,6.069065970747102e-05,speedtest
16,240.0,0.3909685333333333,0.3661914666666667,213.66666666666663,224.06666666666663,228.7257410296412,204.28711692948528,0.0046774940693125,0.0044603181736809,4.7846046513065584e-05,6.560331482050532e-05,-24.56411856474259,-55.65813745908956,71.43588143525741,40.34186254091044,0.0382654190063476,0.830685853111568,0.1672584563632966,0.0003737619136609,0.0016819286114744,speedtest
17,255.0,0.705344,9.702733333333333,360.6,905.2,244.50360510260677,1339.8604359994108,0.0027733513501268,0.0011035219825946,4.204343121246124e-05,4.821257430658565e-05,-32.64503605102607,-46.55582560023568,63.35496394897393,49.44417439976432,0.2336256504058838,0.9467181035446718,0.0505982332550598,0.0025718439002571,0.0001118193000111,speedtest
18,270.0,0.5514010666666667,5.957599466666666,245.2,632.6666666666666,281.09760739532356,1177.081032665964,0.0040752531751394,0.0015789927314664,4.689699493027871e-05,6.209452372372505e-05,-27.624796084828713,-46.92750263435195,68.37520391517128,49.07249736564805,0.1302320798238118,0.989024798927614,0.0070375335120643,0.0029323056300268,0.0010053619302949,speedtest
19,285.0,0.39356,0.3316416,225.0,197.6,218.64444444444445,209.79352226720647,0.0044397450652289,0.0050558086347628,5.149905788935051e-05,0.0001278034174957,-26.433777777777777,-55.58097165991903,69.56622222222222,40.41902834008097,0.140554936726888,0.7527131782945736,0.2463178294573643,0.0,0.000968992248062,speedtest
20,300.0,1.1475888,23.607989333333332,528.2666666666667,2032.4666666666667,271.54581019687026,1451.9296749434186,0.0018903662667015,0.0004912350877395,4.245924776746919e-05,1.197314315831808e-05,-35.98637051993943,-45.02059894381212,60.01362948006057,50.97940105618788,0.2245922883351644,0.992585851556436,0.005165814619523,0.0021680361874682,8.029763657289687e-05,speedtest
21,315.0,0.7204042666666667,12.008399466666669,318.6,1116.4,282.64448629420383,1344.5449062462678,0.0031353109997653,0.0008941589735913,4.9136116913202994e-05,1.922568050365283e-05,-30.429587779870264,-47.489370595963216,65.57041222012974,48.510629404036784,0.0380916913350423,0.9733444602621374,0.0254773943350841,0.0007854302685189,0.0003927151342594,speedtest
22,330.0,0.1714197333333333,0.1409274666666666,120.66666666666669,57.266666666666666,177.5756906077348,307.61233993015134,0.0062909447863459,0.0127255944383172,0.0016309381339207,0.0050051505388484,-24.139226519337015,-55.67636786961583,71.86077348066298,40.32363213038417,0.1582125186920166,0.6523605150214592,0.3379828326180257,0.0037553648068669,0.005901287553648,speedtest
23,345.0,0.0090336,0.0020037333333333,6.333333333333333,0.8,178.29473684210527,313.0833333333333,0.1100208074488538,0.9512624523856424,0.1143631739937587,5.613879442756746,-36.6,-45.166666666666664,59.4,50.833333333333336,0.1712138652801513,0.2456140350877192,0.0,0.1403508771929824,0.6140350877192983,idle
24,360.0,0.0145733333333333,0.0006197333333333,12.533333333333331,0.4,145.34574468085106,193.66666666666663,0.0774643306426186,1.5540591716766357,0.0918157458881582,9.24341397007662,-30.51595744680851,-65.0,65.48404255319149,31.0,0.1899271965026855,0.4791666666666667,0.0,0.1041666666666666,0.4166666666666667,idle
25,375.0,0.0173621333333333,0.0020933333333333,21.4,1.2,101.41433021806854,218.05555555555551,0.0424568317830562,0.7685942930333755,0.0758600618254867,3.12585698913957,-29.05607476635514,-53.888888888888886,66.94392523364486,42.111111111111114,0.3098508834838867,0.4625,0.0,0.0875,0.45,idle
26,390.0,0.0423018666666666,0.0016901333333333,51.0,0.9333333333333332,103.681045751634,226.3571428571429,0.0165735760908476,0.6065336924332839,0.0073111687167345,0.9265703747649202,-29.46535947712418,-52.642857142857146,66.53464052287582,43.357142857142854,0.372706921895345,0.4,0.0,0.0166666666666666,0.5833333333333334,idle
27,405.0,0.0052549333333333,0.0015104,4.666666666666667,0.8,140.75714285714287,236.0,0.1845467678014783,0.8049014481631193,0.3840777612830034,2.508160300569651,-28.47142857142857,-57.416666666666664,67.52857142857142,38.583333333333336,0.7881009896596273,0.5666666666666667,0.1666666666666666,0.0333333333333333,0.2333333333333333,idle
28,420.0,0.0012608,0.0001002666666666,1.1333333333333333,0.0666666666666666,139.05882352941177,188.0,0.6652863770723343,0.0,5.353780418598897,0.0,-31.647058823529413,-49.0,64.3529411764706,47.0,0.7458344618479411,0.6666666666666666,0.0,0.0,0.3333333333333333,idle
29,435.0,0.0156517333333333,0.010816,16.866666666666667,3.1333333333333333,115.99604743083005,431.48936170212767,0.0446674558851453,0.1922971943150395,0.2474201694217129,1.2707786567342212,-23.51778656126482,-48.85106382978723,72.48221343873517,47.14893617021277,0.0116361618041992,0.7745098039215687,0.0,0.0588235294117647,0.1666666666666666,web
30,450.0,0.0560661333333333,0.0413861333333333,72.66666666666667,8.466666666666667,96.44403669724772,611.0157480314961,0.0137404261432293,0.1161517226506793,0.0023801623741209,0.0699946864063073,-18.08348623853211,-58.78740157480315,77.9165137614679,37.21259842519685,0.420656951268514,0.967391304347826,0.0,0.0,0.0326086956521739,web
31,465.0,0.1193264,0.2119226666666666,88.53333333333333,38.333333333333336,168.476656626506,691.0521739130435,0.0112810330725111,0.0258448290077236,0.0031777844366766,0.0213966051403598,-20.80873493975903,-56.735652173913046,75.19126506024097,39.264347826086954,0.2493775049845377,0.9485935984481086,0.0184287099903006,0.0048496605237633,0.0281280310378273,web
32,480.0,0.0746261333333333,0.3757141333333333,42.06666666666667,38.6,221.74960380348656,1216.6908462867011,0.0200222492218017,0.0218254880509162,0.0637173017782673,0.1388749350143612,-24.082408874801903,-49.66148531951641,71.9175911251981,46.33851468048359,0.2805317083994547,0.9839228295819936,0.0,0.0032154340836012,0.0128617363344051,web
33,495.0,0.0033781333333333,0.0003034666666666,2.066666666666667,0.2,204.32258064516128,189.66666666666663,0.0073935031890869,0.0015399456024169,0.0002204184584217,4.51223058917094e-06,-19.129032258064516,-66.0,76.87096774193549,30.0,0.985674508412679,0.4375,0.0,0.1875,0.375,web
34,510.0,0.0001232,0.0,0.0666666666666666,0.0,231.0,0.0,0.0,0.0,0.0,0.0,-64.0,0.0,32.0,0.0,0.6626439412434896,0.0,0.0,0.0,0.0,web
35,525.0,0.2463328,2.5136037333333334,158.13333333333333,240.26666666666668,194.71922428330524,1307.7155937846835,0.0058646554033849,0.0038523016920891,0.0001141845403201,0.0004691841793903,-24.443929173693085,-45.43701442841287,71.55607082630691,50.56298557158713,0.2365249315897623,0.9957814807002742,0.0010546298249314,0.0006327778949588,0.0025311115798354,web
36,540.0,0.2110229333333333,1.382368,119.8,140.73333333333332,220.1825264329438,1227.825675035528,0.0083431853748907,0.0070338607399384,0.0011802939281541,0.0034062290408049,-22.73956594323873,-47.97584083372809,73.26043405676127,48.02415916627191,0.1947606245676676,0.9887869520897044,0.0,0.001019367991845,0.0101936799184505,web
37,555.0,0.2225610666666666,0.1567461333333333,84.2,22.266666666666666,330.40538400633415,879.937125748503,0.0117264200125934,0.0424530234064783,0.0019377543628399,0.0377885248280377,-24.028503562945367,-49.47904191616767,71.97149643705463,46.52095808383233,0.3555362224578857,0.9947575360419396,0.0,0.0,0.0052424639580602,web
38,570.0,0.2419141333333333,5.5098378666666665,147.53333333333333,510.46666666666664,204.96565747853592,1349.2158808933002,0.0067013024637108,0.0019358141482063,0.0020816997346043,0.001046140362894,-27.87031179394487,-43.94449523312002,68.12968820605514,52.05550476687998,0.1656558513641357,0.992433942497963,0.0001164008846467,0.002910022116168,0.0045396345012222,streaming
39,585.0,0.0706133333333333,1.1671077333333333,63.733333333333334,111.0,138.49372384937237,1314.3105105105103,0.0157017915036665,0.0088658888752643,0.0030486617107422,0.0046335369477394,-31.114016736401673,-45.34894894894895,64.88598326359832,50.65105105105105,0.2943794091542562,0.9912998976458548,0.0061412487205731,0.0,0.0025588536335721,streaming
40,600.0,0.0352997333333333,0.1501525333333333,51.13333333333333,15.733333333333333,86.29335071707953,1192.949152542373,0.0195623875909312,0.0516466800202714,0.0109794681221833,0.0801281077436022,-22.94915254237288,-44.25,72.0651890482399,50.75,0.3530671278635661,0.94375,0.0,0.009375,0.046875,streaming
41,615.0,0.0342608,0.5082208,45.4,48.0,94.33039647577093,1323.4916666666666,0.0216565163696513,0.0202128207401705,0.0138417749347458,0.0327436832155006,-19.491923641703377,-44.852777777777774,75.50807635829662,50.147222222222226,0.5505430857340495,0.9689826302729528,0.0272952853598014,0.0012406947890818,0.0024813895781637,streaming
42,630.0,0.0256592,0.4189285333333333,22.866666666666667,39.733333333333334,140.26530612244898,1317.9379194630872,0.0403652281789054,0.0230291194274645,0.0453012054147843,0.0403980712133049,-27.504373177842567,-43.29697986577181,68.42274052478135,52.69798657718121,0.7235239187876383,1.0,0.0,0.0,0.0,streaming
43,645.0,0.02688,0.500056,22.466666666666665,47.93333333333333,149.55489614243322,1304.04033379694,0.0422562225943519,0.0193499163996874,0.046811259537821,0.0300349970727191,-22.498516320474774,-47.749652294853966,73.50148367952522,48.250347705146034,0.7237512270609537,0.966789667896679,0.031980319803198,0.0,0.001230012300123,streaming
44,660.0,0.0538688,0.2349189333333333,47.8,29.8,140.87029288702928,985.3982102908276,0.0203772500240603,0.0320857218028184,0.0072664359012469,0.0304974995450894,-23.550906555090656,-49.686800894854585,72.44909344490935,46.313199105145415,0.6884450753529866,0.9648562300319488,0.0255591054313099,0.0,0.0095846645367412,streaming
45,675.0,0.2204746666666666,0.4729493333333333,124.33333333333331,75.93333333333334,221.656836461126,778.5601404741001,0.0076726850266108,0.0125674893441225,0.001415156514902,0.0048231920219726,-22.40053619302949,-52.47058823529411,73.5994638069705,43.52941176470589,0.5329619725545247,0.944580676802354,0.043648847474252,0.0093182932810201,0.0024521824423737,speedtest
46,690.0,1.4814176,18.790242133333333,611.1333333333333,1581.0,303.0062179557107,1485.629517183217,0.0016362984940497,0.0006323033645139,0.0001229599798676,0.0001214904955348,-37.554052579906184,-45.35121231288214,58.445947420093816,50.64878768711786,0.1208084424336751,0.9982259018332348,0.0003423698216564,0.0010582339942108,0.0003734943508979,speedtest
47,705.0,0.3950869333333333,0.5188016,205.46666666666667,137.6,240.3595068137573,471.2950581395349,0.0048607750706609,0.0072515351761907,5.0393889047426454e-05,0.0006962140159657,-25.38676184295912,-59.68168604651163,70.61323815704088,36.31831395348837,0.0538440545399983,0.8350361325691502,0.1617243957139297,0.0022427111886369,0.000996760528283,speedtest
48,720.0,0.2603925333333333,1.3366650666666666,193.2,170.93333333333334,168.47342995169083,977.4754290171606,0.0051411076336018,0.0057267831072321,0.0002457403368942,0.0011788681033525,-21.734989648033125,-53.21489859594384,74.26501035196688,42.78510140405616,0.2745876630147298,0.7601683029453016,0.2281439925198691,0.0102851799906498,0.0014025245441795,speedtest
49,735.0,0.0298170666666666,0.0136021333333333,36.733333333333334,4.333333333333333,101.46460980036298,392.3692307692308,0.0272167821363969,0.2237301878631115,0.0183519646501629,0.2806128371113954,-25.95825771324864,-61.96923076923077,70.04174228675136,34.03076923076923,0.7029069264729818,0.8662420382165605,0.0318471337579617,0.0,0.1019108280254777,idle
50,750.0,0.0764042666666666,0.0164698666666666,58.86666666666667,6.266666666666667,162.2400906002265,328.52127659574467,0.0169940000218328,0.1582703026392126,0.017688300651878,0.2270643830701064,-33.091732729331824,-56.755319148936174,62.908267270668176,39.244680851063826,0.6703980286916097,0.7159090909090909,0.0,0.0085227272727272,0.2755681818181818,idle
51,765.0,0.0542581333333333,0.0168181333333333,53.93333333333333,3.8666666666666663,125.75278121137208,543.6896551724138,0.0185344343138213,0.2508866494162041,0.0124781603450828,0.2482523259373884,-29.03213844252163,-54.241379310344826,66.96786155747837,41.758620689655174,0.5518377780914306,0.7405660377358491,0.0094339622641509,0.0047169811320754,0.2452830188679245,idle
52,780.0,0.0593029333333333,0.076792,70.6,17.0,104.99811142587346,564.6470588235294,0.0141729499532054,0.0580551220676091,0.0034879291788421,0.0521165955870418,-26.649669499527857,-53.83921568627451,69.35033050047214,42.16078431372549,0.4864290396372477,0.9400479616306956,0.0239808153477218,0.0,0.0359712230215827,idle
53,795.0,0.046624,0.0636336,46.2,11.066666666666666,126.14718614718616,718.7530120481928,0.0199985218185909,0.0785869280497233,0.0084872208565186,0.0744428650056013,-23.48917748917749,-47.16265060240964,72.5108225108225,48.83734939759036,0.5990725994110108,1.0,0.0,0.0,0.0,
54,810.0,0.0011797333333333,6.186666666666666e-05,1.4,0.0666666666666666,105.33333333333331,116.0,0.0510645985603332,0.0,0.0396543657688597,0.0,-23.80952380952381,-64.0,72.19047619047619,32.0,0.0836110750834147,0.2,0.0,0.2,0.6,
